title,sku,quantity,price,retail_price,description,width,depth,height,tags,images
Antique Curio Display Cabinet with Removable Tray Top,20970,1,749.0,1095.0,"The Antique Curio Display Cabinet with Removable Tray Top is a stunning addition to any interior, capturing the essence of vintage charm. Crafted with meticulous attention to detail, this cabinet features a removable tray top that adds versatility and functionality to its design. The cabinet showcases intricate carvings and ornate accents, highlighting its unique character and craftsmanship. The warm wood finish adds a touch of warmth and sophistication, making it an ideal choice for designers and decorators looking to create a captivating display for cherished collectibles or decorative items. The Antique Curio Display Cabinet with Removable Tray Top effortlessly blends practicality with vintage allure, making it a must-have for discerning clients seeking to infuse their spaces with refined style.FREE SHIPPING to Anywhere in the US 48 States",,,,"antique, display, cabinet, tray, side-table, storage, curio","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706810642908-Y0QMLWVCR59FJJ2G00O5/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%289%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716933591-J4DNA63AQYHL0TWPS0LG/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%284%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716920722-QZQM46FKJMBGDKYS02HH/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716933992-PNSROT280QYT6TA75HME/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%286%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716919559-KKS6DUN7I5N46YKCU2T7/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716933793-MWSBJU2TUJJZXK0R4QI0/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716929476-189SWXTZHV4E9ML4TURD/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%285%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716932958-8EXV6XBHBVXUJR439T62/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%288%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716932959-Y6ETIUKTXERR54PPKKI4/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706716929889-F2605115OOZ7NLRO2M1Y/Antique+Curio+Display+Cabinet+with+Removable+Tray+Top+%287%29.JPG"
Vintage French Frida Minet Turned Oak Pedestal or Plant Stand C1950s,21046,1,995.0,1300.0,"The Vintage French Frida Minet Turned Oak Pedestal or Plant Stand from the 1950s is a remarkable discovery that will captivate designers and decorators with its exquisite craftsmanship and understated charm. This versatile piece showcases the artistry of French design with its turned oak construction, exuding a sense of refined sophistication. Its functional design allows it to serve as a stylish plant stand or a platform to showcase cherished objects. The intricate turned detailing adds a touch of visual interest, while the natural wood grain brings warmth and character to any space. The Vintage French Frida Minet Turned Oak Pedestal or Plant Stand is a testament to the enduring appeal of mid-century French design, making it a perfect choice for those seeking to infuse their interiors with a touch of refined charm.FREE SHIPPING to Anywhere in the US 48 States",7,7,26.5,"vintage, french, frida, minet, plant-stand, side-table, table","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706798663501-02T1RGUL0ST2V5XXV5X6/Vintage+French+Frida+Minet+Plant+Stand+%284%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706728063798-RFSM28BH1Y61XIQK4K4O/Vintage+French+Frida+Minet+Plant+Stand+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706728070123-YWBGLBPL3T73GHKLYX8O/Vintage+French+Frida+Minet+Plant+Stand+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706728071466-D13G78D0KNVYHKH40MJT/Vintage+French+Frida+Minet+Plant+Stand+%281%29.JPG"
Vintage Edgar Brandt Art Deco French Floral Bronze Vanity Table with Mirror,21055,1,2395.0,3300.0,"Immerse yourself in the opulent splendor of Art Deco elegance with the Vintage Edgar Brandt French Floral Bronze Vanity Table with Mirror. Exuding the quintessential allure of 1920s Parisian glamour, this exquisite piece is a testament to timeless sophistication and craftsmanship. Adorned with intricate floral motifs and meticulously crafted from luxurious bronze, it evokes an aura of grandeur and refinement. The sleek silhouette and ornate detailing captivate the eye, while the accompanying mirror adds a touch of practicality and allure. Perfect for discerning designers and decorators seeking to infuse their spaces with vintage allure, this vanity table transcends trends, becoming a focal point of unparalleled beauty and allure in any interior setting.FREE SHIPPING to Anywhere in the US 48 States",35.5,17.7,52,"vintage, edgar-brandt, art-deco, french, floral, bronze, vanity, table, mirror","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706798814230-F0V4ADZ1J3I69AUVF7YP/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%288%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722004410-LH2KH7MW9XCLDOXVDXYY/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722004134-FXVY405Q0Z0Z6EJ5YRTY/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%284%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722015251-GVZL29Y84X05QV8N68PD/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%286%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722012626-IEQNJK0CNPIC0DWIFLZD/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%287%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722015427-S1WB5SK7UJJU7P9D16RE/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%285%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722014655-96YZIITRV3D0L21NHOXE/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722014291-HWQT0ONP4JS3JU2X5DZQ/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706722010545-X7YHT0QS41TIMAHDF926/Vintage+Edgar+Brandt+Art+Deco+French+Floral+Bronze+Vanity+Table+with+Mirror+%282%29.JPG"
Silver Gilt Venetian Crystal Chandelier,20968,1,2395.0,3150.0,"Introducing our exquisite Silver Gilt Venetian Crystal Chandelier, a pinnacle of sophistication and timeless beauty. Handcrafted by master artisans using centuries-old Venetian techniques, this chandelier exemplifies the epitome of luxury. Each intricately cut crystal, delicately set within a silver gilt framework, captures and refracts light with unparalleled brilliance, casting a spellbinding ambiance in any space. Perfect for designers and decorators with a discerning eye for elegance, this chandelier effortlessly elevates the aesthetic of any interior, from grand ballrooms to intimate dining spaces. Imbued with a sense of history and craftsmanship, it is more than just a lighting fixture; it is a statement of refined taste and timeless allure.FREE SHIPPING to Anywhere in the US 48 States",27,19,,"silver, gilt, venetian, crystal, chandelier, lighting, ceiling-light","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707232551141-3HG5M1C0AT5N7WTQTQEP/Silver+Gilt+Venetian+Crystal+Chandelier+%282%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707232550959-O0RISWLLNBAYPT4068DF/Silver+Gilt+Venetian+Crystal+Chandelier+2+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707232550163-BFDL8F0433SP37Z9G19M/Silver+Gilt+Venetian+Crystal+Chandelier+4+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707232550274-E7JEMVK2XWSNBBZL9V48/Silver+Gilt+Venetian+Crystal+Chandelier+3+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706799425060-KNWJQ38KFCFAP20UHQMV/Silver+Gilt+Venetian+Crystal+Chandelier+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706737822910-UUP129Q5F16SCNHSLATU/Silver+Gilt+Venetian+Crystal+Chandelier.JPG"
Mitchell Gold & Bob Williams Cara Sofa,20958,1,1995.0,2795.0,"Crafted by the esteemed design duo Mitchell Gold & Bob Williams, the Cara Sofa effortlessly marries timeless elegance with modern sensibility, making it a quintessential centerpiece for sophisticated interiors. Boasting exquisite tailoring, this luxurious piece exudes understated glamour, offering a perfect balance of comfort and style. Upholstered in sumptuous fabrics meticulously selected for their durability and tactile appeal, the Cara Sofa invites lounging with its plush cushions while elevating any space with its refined silhouette. A versatile canvas for creative expression, it serves as a cornerstone for curated living spaces, reflecting the discerning tastes of designers and decorators alike.FREE SHIPPING to Anywhere in the US 48 States",78,32,33,"mitchel-gold, bob-williams, cara, sofa, seating, chair","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812667477-67IM5LCQJ0U0RZSWRPLM/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa%285%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812668287-VK2NL977WNGV4SXOKZHH/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa%284%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812674437-K8OMAFFYL388SHV5G304/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa%283%29+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812670338-KN3A4AXBTIQEO1B8AYXU/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa%282%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812671566-6NW4H37D6Z1UVET24U2U/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812670540-B8VUXG1VD38PL4LHPB2N/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2826%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812656111-8VUQ73TQKJNCDUTLL111/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2824%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812653797-CV4OJBWOFJEIUMUU2YZ6/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2818%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812659174-YQSDSEL2M2SB5SBHQTFR/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2823%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812655694-NUA7T8I125O1ICWWYSTI/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2819%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812654169-7VZWOWWWD5FCS59JB0BL/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2821%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812675514-UOWB3CG27BQWRVANS84Q/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2825%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812662657-4BBEIMZDAFD0PUCZEEXQ/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2822%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706812674241-WEC7N0RUDWN3DY3Y9KGZ/Mitchel+Gold+%26+Bob+Williams+Cara+Sofa+%2820%29.JPG"
Pair of Luminaire d'Art Transitional Arm Sconces,20967,1,1095.0,1400.0,"Discover the epitome of transitional elegance with our Pair of Luminaire d'Art Transitional Arm Sconces. Crafted to seamlessly blend traditional charm with contemporary sophistication, these sconces boast a refined silhouette and exquisite detailing, making them the quintessential statement piece for any discerning designer or decorator. The graceful curves of the arms, coupled with the understated yet captivating design, evoke a sense of timeless allure, while the luminous glow casts a warm ambiance, effortlessly enhancing any space with an air of refined luxury. Ideal for adding a touch of understated glamour to entryways, living rooms, or dining areas, these sconces are sure to captivate the discerning eye and elevate the aesthetic appeal of any interior setting with their unparalleled beauty and craftsmanship.FREE SHIPPING to Anywhere in the US 48 States",2.7,20.5,5.7,"luminaire-dart, transitional, arm-sconces, sconces, lighting","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706891483228-O4UA0E2EPX28L39X8N8O/Pair+of+Luminaire+d%27Art+Transitional+Arm+Sconces.png, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706738049192-QIMPNXX63Z99OFGQ6M7N/Pair+of+Luminaire+d_Art+Transitional+Arm+Sconces.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707232161104-9RV6J1C3IOKXOFAKMMT0/Pair+of+Luminaire+d_Art+Transitional+Arm+Sconces+A.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706738048942-B17IGX5HRMU5ZW4IDVKA/Pair+of+Luminaire+d_Art+Transitional+Arm+Sconces+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706738048764-U94K8KUNPL0XRM967SFC/Pair+of+Luminaire+d_Art+Transitional+Arm+Sconces+2.jpg"
Pair of Vintage Floral Tole Candlestick Buffet Handpainted Lamps,SQ8925152,1,1095.0,1650.0,"Exuding timeless charm and artisanal elegance, this Pair of Vintage Floral Tole Candlestick Buffet Hand painted Lamps is a must-have addition for discerning designers and decorators alike. Crafted with meticulous attention to detail, each lamp features intricate hand-painted floral motifs on a classic tole candlestick design, evoking a sense of vintage sophistication and refined taste. Perfect for adding a touch of whimsy and character to any interior space, these lamps serve as both functional lighting fixtures and exquisite decorative accents. Whether adorning a buffet table, illuminating a cozy reading nook, or gracing a bedside table, these vintage treasures effortlessly infuse any room with warmth, personality, and timeless style, making them coveted pieces for the most discerning clientele.FREE SHIPPING to Anywhere in the US 48 States",,,,"vintage, floral, tole, candlestick, buffet, handpainted, lamp, lighting, table-lamp","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1716393169437-RDGJ40H2E1UCLPMB43W6/Antique+Knole+Sofa+%283%29.png, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706808282570-4VC0KKJ0UHPUJ48J4ICU/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+%287%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707232224076-YZNHAOA55YSCOO41ID2E/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+A.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706727728514-SICX3Y0MLK55BQC07GGU/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706727728194-WSQAS5LRSJQES2HWU846/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706727727436-ML7SX79YHPEPIXRY58CB/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+%285%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706727728589-H81MWL6RAOWOYM8B91O8/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706727729514-UVY97XMTUEBPF9553CRD/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+%284%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706727730094-JPJPAIG3RE8U1CPMERYC/Pair+of+Vintage+Floral+Tole+Candlestick+Buffet+Handpainted+Lamps+%281%29.JPG"
Environment Furniture Santomer Dresser,20960,1,2095.0,3195.0,"Indulge in the rustic sophistication of the Environment Furniture Santomer Dresser, meticulously crafted to captivate the discerning eye of designers and decorators. Made from reclaimed wood, each dresser is a unique testament to sustainable luxury, boasting a weathered finish that exude timeless charm. Designed for those who appreciate artisanal craftsmanship, this dresser seamlessly combines organic elements with modern design, offering both functionality and aesthetic appeal. With its ample storage space and versatile styling options, the Santomer Dresser is the quintessential statement piece for curated interiors seeking to infuse character and elegance into every detail.FREE SHIPPING to Anywhere in the US 48 States",57,22,36,"environment-furniture, dresser, cabinet, storage","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706810213481-I1V4A1BNVVV9L874IZ8N/Environment+Furniture+Santomer+Dresser%282%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706810211634-MAFIMW4VT6NDU1V4D815/Environment+Furniture+Santomer+Dresser%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1706810212818-6YENOEWA3NP9HOUVWQQL/Environment+Furniture+Santomer+Dresser+%284%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707772422680-X9PBBTZ0A6DGVGAF3L3G/Environment%2BFurniture%2BSantomer%2BDresser-min.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707772422157-LJP6F92WKSM4RPE44UUR/Environment%2BFurniture%2BSantomer%2BDresser%2B%281%29-min.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707772422859-MWCP9G9BDE50D0W9CTJB/Environment%2BFurniture%2BSantomer%2BDresser%2B%282%29-min.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1707772422860-CESYXEKBBOW3A7AIT3VS/Environment%2BFurniture%2BSantomer%2BDresser%2B%283%29-min.jpg"
Pair of Restoration Hardware  “Morgan Track Arm” Barstools,SQ7610376,1,896.0,1800.0,"Tapered legs – a signature of midcentury design – complement these stool's strikingly angular silhouette. A wooden frame supports the tailored seat and back, providing visual contrast and adding warmth.FREE SHIPPING to Anywhere in the US 48 States",,,,"barstool, mid-century, modern, oak, morgan-track, rh","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535809710-F1P5FA1ZL8FEXX3C83ML/pair+of+modern+arm+bar+stools+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535810239-ZP4OFF7ERYDXG6SCZ53D/pair+of+modern+arm+bar+stools+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535801633-EXVHTZC305S842K1MPPA/pair+of+modern+arm+bar+stools+8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535804326-44IK8SFQRNXLD46EH4H4/pair+of+modern+arm+bar+stools+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535805586-DPVSV25J10B0NPQXZM9Z/pair+of+modern+arm+bar+stools+9.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535809252-E4280LA6VXYABBQW82II/pair+of+modern+arm+bar+stools+11.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535809979-E16O468D5I68BA7E6A6N/pair+of+modern+arm+bar+stools.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535803205-PVO4ISLEF6ZGTFWFX1B5/pair+of+modern+arm+bar+stools+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535803730-8PRUYBJYVIRA4YPHSMQB/pair+of+modern+arm+bar+stools+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535804796-941LX0W3EDZA9UME4IBK/pair+of+modern+arm+bar+stools+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1642535809075-6D6OVW6HYHWL5Y9SV3E8/pair+of+modern+arm+bar+stools+10.jpg"
Custom Fringe Zimmer Rohde Velvet Pillows,SQ7134755,4,325.0,500.0,"Indulge in opulence with our custom-made Modern Velvet with Fringes Throw Pillow, crafted from the exquisite Travers fabric from Zimmer-Rohde. Renowned for its unparalleled softness and inherent elegance, Travers fabric elevates your interior design with a luxurious touch. The plush velvet, adorned with carefully crafted fringes, seamlessly combines comfort and sophistication. Embrace the allure of Zimmer-Rohde's textile mastery, where every pillow is a testament to the artistry that resonates with discerning designers and decorators. Elevate your space with this statement piece, transcending ordinary decor into a realm of timeless luxury.FREE SHIPPING to Anywhere in the US 48 States",18,4,18,"modern, velvet, throw-pillow","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704900783759-C6LBGJEME8S51YODK4IN/Modern+Velvet+with+Fringes+Throw+Pillow+%281%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704828703989-K2ON7M180ZWN3DO2TWLM/Modern+Velvet+with+Fringes+Throw+Pillow.JPG"
Pair of Vintage French Auguste Moreau Bronze Sculpture Table Lamps,21028,1,4245.0,8850.0,"Indulge in the timeless elegance of these Vintage French Auguste Moreau Bronze Sculpture Table Lamps, which stand as a testament to the artistry of the late 19th-century aesthetic. Celebrated for their ornate detail and classical beauty, these lamps feature exquisite craftsmanship and romantic figures that are emblematic of Moreau's work. The warm patina of the bronze, achieved through years of natural aging, enhances the depth and character of each sculptural form. Resting on ornamental bases, the figures are poised in a dance of light and shadow, offering a narrative quality that captivates and enchants. These lamps are not merely functional objects but are sculptural masterpieces that offer an air of aristocratic charm to any interior. Ideal for a designer or decorator looking to infuse a space with a touch of historical grandeur and artisanal allure, these lamps promise to be a focal point in any luxurious design scheme.FREE SHIPPING to Anywhere in the US 48 States",9,8,47,"vintage, french, auguste-moreau, bronze, table-lamps, lighting, lamp, sculpture","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915685022-0BNJU0J4F56QPKM3476N/Pair%2Bof%2BVintage%2BFrench%2BAuguste%2BMoreau%2BBronze%2BSculpture%2BTable%2BLamps%2B%285%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702487199808-2M1ZNHR84SPNLQJ0ZSOL/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps+%284%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915832303-J638P7QNHECIYUY6VACI/IMG_5377.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702502436265-RHYNLANLVGI3LB14LPS6/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps+%285%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702565059191-4XNE5GW6T6V3S0NIF61G/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps+a.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915991888-1EMP6T5GNVZ00LXZGAHP/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702487200924-WQMSQMJKGFNWYKU3ANL6/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702487200188-4AYBQ72WRTJGCBL67QJ2/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915831237-4QIYYD4NLQDXSQJJ34PV/IMG_5381.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702487199807-L2F54TUBPYOXFTMIK7XR/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915832630-32UW299C8PEDGGLG79P3/IMG_5385.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915832710-UKRJ9WG5YR1O1JGCGDY2/IMG_5379.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1702487200559-WNVZJ5XDD0CDABEA6U10/Pair+of+Vintage+French+Auguste+Moreau+Bronze+Sculpture+Table+Lamps+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915831029-D6POSY2KWQP7CLRDY8JP/IMG_5383.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1704915831390-WR9GSBVWDS4M4LSIBIGB/IMG_5375.JPG"
