title,sku,price,retail_price,category,sub_category,description,width,height,depth,tags,brand,designer,images
Pair Of 1940S Swedish Oak Lounge Chairs,6958004535428,3865.0,,seating,LOUNGE CHAIRS,Origin: Sweden. Designer: Unknown. Manufacturer: Unknown. Era: 1940. Materials: Oak. Measurements: 39.5″ tall Condition: In excellent original condition.,,39.5,,"1940, 2023, CHAIR, DA12834, Denmark- October 2023, LOUNGE CHAIRS, Oak, Sweden, SWEDISH",,,"https://midcenturymobler.com/cdn/shop/products/DA12834.jpg?v=1662808403, https://midcenturymobler.com/cdn/shop/products/DA12834c.jpg?v=1662808414, https://midcenturymobler.com/cdn/shop/products/DA12834f.jpg?v=1662808413, https://midcenturymobler.com/cdn/shop/products/DA12834a.jpg?v=1662808414, https://midcenturymobler.com/cdn/shop/products/DA12834b.jpg?v=1662808414"
Teak Coffee Table With Pull Out Chess Board By Tove + Edvard Kindt Larsen,6958036942980,2100.0,,tables,COFFEE TABLE,Origin: Sweden. Designer: Tove + Edvard Kindt Larsen. Manufacturer: AB Seffle Möbelfabrik. Era: 1960s. Materials: Teak. Measurements: 55″ wide x 25″ deep x 19.75″ tall,55,19.75,25,"1960s, 2023, AB Seffle Möbelfabrik, COFFEE TABLE, DA12841, depth:25, height:19.75, JANUARY 2023, PULL OUT CHESS BOARD, restored, Sweden, table, Teak, Tove + Edvard Kindt Larsen, width:55",AB Seffle Möbelfabrik,Tove + Edvard Kindt Larsen,"https://midcenturymobler.com/cdn/shop/products/DA12841.jpg?v=1662811649, https://midcenturymobler.com/cdn/shop/products/DA12841c.jpg?v=1662811671, https://midcenturymobler.com/cdn/shop/products/DA12841a.jpg?v=1662811669, https://midcenturymobler.com/cdn/shop/products/DA12841d.jpg?v=1662811670, https://midcenturymobler.com/cdn/shop/products/DA12841e.jpg?v=1662811669, https://midcenturymobler.com/cdn/shop/products/DA12841g.jpg?v=1662811671, https://midcenturymobler.com/cdn/shop/products/DA12841f.jpg?v=1662811670, https://midcenturymobler.com/cdn/shop/products/DA12841aa.jpg?v=1662811671, https://midcenturymobler.com/cdn/shop/products/DA12841b.jpg?v=1662811670"
Pair Of Danish Modern Freestanding Cocktail Bars In Rosewood,6980989747332,5130.0,,storage,FREESTANDING COCKTAIL BARS,Origin: Sweden. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Rosewood. Measurements: 47.25″ wide x 19″ deep x 44″ tall,47.25,44,19,"1960s, 2023, BARS, DA12883, DANISH MODERN, depth:19, FREESTANDING, height:44, JANUARY 2023, pair, restored, Rosewood, Sweden, width:47.25",,,"https://midcenturymobler.com/cdn/shop/products/DA12883.jpg?v=1665293527, https://midcenturymobler.com/cdn/shop/products/DA12883d.jpg?v=1665293540, https://midcenturymobler.com/cdn/shop/products/DA12883e.jpg?v=1665293539, https://midcenturymobler.com/cdn/shop/products/DA12883f.jpg?v=1665293539, https://midcenturymobler.com/cdn/shop/products/DA12883g.jpg?v=1665293539, https://midcenturymobler.com/cdn/shop/products/DA12883h.jpg?v=1665293541, https://midcenturymobler.com/cdn/shop/products/DA12883b.jpg?v=1665293540, https://midcenturymobler.com/cdn/shop/products/DA12883c.jpg?v=1665293540"
Bow Edge Draw Leaf Dining Table In Teak,7286962126980,3500.0,,tables,,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Teak. Measurements: 57.5"" wide (closed), 102"" wide (open), 35.5"" deep, x 29.5"" tall",57.5,29.5,35.5,"1960s, boat edge, bow edge, denmark, depth:35.5, dining table, draw leaf, dutch leaf, extendable, height:35.5, new, restore, restored, teak, width:57.5",,,"https://midcenturymobler.com/cdn/shop/files/DSC_4304.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4296.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4306.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4309.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4314.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4318.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4324.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4327.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4338.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4342.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4345.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4347.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4350.jpg?v=1722311541, https://midcenturymobler.com/cdn/shop/files/DSC_4354.jpg?v=1722311541"
Model 12 Draw Leaf Dining Table In Teak By N.O. Møller,6710755754116,4865.0,,tables,Cabinets & Storage,Origin: Denmark. Designer: Neils Otto Møller. Manufacturer: JL Møller. Era: 1960s. Materials: Teak. Measurements: 53.5″ wide x 35.5″ deep x 28.25″ tall,53.5,28.25,35.5,"1960s, danish modern, denmark, depth:35.5, dining table, DRAW LEAF DINING TABLE, height:28.25, JL Møller, Neils Otto Møller, restored, table, teak, width:53.5",JL Møller,Neils Otto Møller,"https://midcenturymobler.com/cdn/shop/products/DA12535.jpg?v=1642636433, https://midcenturymobler.com/cdn/shop/products/DA12535a.jpg?v=1642636433, https://midcenturymobler.com/cdn/shop/products/DA12535b.jpg?v=1642636433, https://midcenturymobler.com/cdn/shop/products/DA12535c.jpg?v=1642636433"
Mini Grand Piano Jewelry Box In Teak,7282438799492,1725.0,,storage,PIANO,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1950s. Materials: Teak. Measurements: 18.25"" wide x 22"" deep x 17.75"" tall (closed) 31"" tall (opened)",18.25,17.75,22,"1950s, denmark, DENMARK - DECEMBER 2024, depth:22, height:31, jewelry, JEWELRY BOX, MINI GRAND PIANO, PRE-ORDER, restore, restored, teak, width:18.25",,,"https://midcenturymobler.com/cdn/shop/files/DA13356b.jpg?v=1720780220, https://midcenturymobler.com/cdn/shop/files/DA13356.jpg?v=1720780220, https://midcenturymobler.com/cdn/shop/files/DA13356e.jpg?v=1720780220, https://midcenturymobler.com/cdn/shop/files/DA13356c.jpg?v=1720780220, https://midcenturymobler.com/cdn/shop/files/DA13356f.jpg?v=1720780219"
Børge Mogensen Bookcase In Teak,7218353143940,3400.0,,storage,BOOKCASE,"Origin: DenmarkDesigner: Borge MogensenManufacturer: SoborgEra: 1958Materials: TeakMeasurements: 39.5"" wide x 12.5"" deep x 57"" tall",39.5,57,12.5,"1958, BOOKCASES, Børge mogensen, denmark, DENMARK - JANUARY 2024, depth:12.5, height:57, PRE-ORDER, restored, soborg, teak, width:39.5",,,"https://midcenturymobler.com/cdn/shop/files/DA13223b.jpg?v=1705389054, https://midcenturymobler.com/cdn/shop/files/DA13223c.jpg?v=1705389055, https://midcenturymobler.com/cdn/shop/files/DA13223.jpg?v=1705389056, https://midcenturymobler.com/cdn/shop/files/DA13223d.jpg?v=1705389054, https://midcenturymobler.com/cdn/shop/files/DA13223j.jpg?v=1705389055"
Danish Modern Teak + Leather Folding Magazine Rack,7214586167428,850.0,,accessories,accessories,"Origin: DenmarkDesigner: UnknownManufacturer: UnknownEra: 1960sMaterials: Teak, LeatherMeasurements: 19″ wide x 11″ deep (open), 2"" deep (closed) x 11″ tall Condition: In excellent original condition with typical wear for its vintage",19,11,11,"danish, depth:11, height:11, leather, magazine, teak, vintage, width:19",,,"https://midcenturymobler.com/cdn/shop/files/DSC_7458_cf1d2151-8551-4b97-b618-412a7b17ff14.jpg?v=1704399221, https://midcenturymobler.com/cdn/shop/files/DSC_7438_417a2aed-a69a-4142-9ed7-f01a9ca122c9.jpg?v=1704399220, https://midcenturymobler.com/cdn/shop/files/DSC_7443_7970fbc3-84b9-4dc8-bdce-b9087b8317ba.jpg?v=1704399223, https://midcenturymobler.com/cdn/shop/files/DSC_7451_fdf9ab34-867e-4f01-a319-e6a94b0aaa73.jpg?v=1704399221, https://midcenturymobler.com/cdn/shop/files/DSC_7455_791a8470-8c26-4eba-977e-79462cd221b6.jpg?v=1704399220, https://midcenturymobler.com/cdn/shop/files/DSC_7461_84348cb9-0119-4e48-93e0-4951b63587cb.jpg?v=1704399219, https://midcenturymobler.com/cdn/shop/files/DSC_7466_a9a638f5-c368-4c7a-a0eb-1716e9aee91a.jpg?v=1704399220"
"Pair Of Bertil Fridhagen ""Aristokrat"" Lounge Chairs In Teak",8165757354116,6685.0,,seating,,"Origin: Sweden. Designer: Bertil Fridhagen. Manufacturer: Broderna Andersson. Era: 1970s. Materials: Teak Measurements: 31"" wide x 30"" wide x 28.25"" tall; Seat Height 16"" tall",31,28.25,,"broderna andersson, lounge chair, restore, restored, swedish, upholstery",Broderna Andersson,Bertil Fridhagen,"https://midcenturymobler.com/cdn/shop/files/DA13266-PhotoRoom_cbdeeaf6-ee37-4b99-a184-d97e5641212b.jpg?v=1729040563, https://midcenturymobler.com/cdn/shop/files/DA13266h-PhotoRoom_65554f40-dec9-4e83-86bf-21f7eae798fc.jpg?v=1729040120"
"1970S ""Living Center"" Series Dining Trolley By Jo Colombo For Rosenthal",6710727311492,3800.0,,tables,Cabinets & Storage,"Origin: Italy. Designer: Joe Colombo. Manufacturer: Unknown. Era: 1970s. Materials: Plastic, Metal, Steel. Measurements: 68.75″ wide x 29.25″ tall Condition: In excellent original condition.",68.75,29.25,,"1970s, 2021, atomic, COLOMBO, denmark, dining, DINING TROLLEY, height:29.25, Italy, JO COLOMBO, metal, October, October 2021, plastic, PRE-ORDER, restored, ROSENTHAL, steel, teak, trolley, width:68.75",,Joe Colombo,"https://midcenturymobler.com/cdn/shop/products/DA12251.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/Screen-Shot-2021-12-07-at-3.47.39-PM.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251j.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251i.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251h.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251c.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251b.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251e.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251d.jpg?v=1642633321, https://midcenturymobler.com/cdn/shop/products/DA12251f.jpg?v=1642633322, https://midcenturymobler.com/cdn/shop/products/DA12251g.jpg?v=1642633324"
Danish Modern Triangular Teak Coffee Table,6710686220420,1775.0,,tables,Tables,Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Teak. Measurements: 62″ wide x 30.5″ deep x 19.5″ tall,62,19.5,30.5,"cane, coffee table, depth:30..5, height:19.5, rack, restored, teak, trioh, width:62",,,"https://midcenturymobler.com/cdn/shop/products/DA11661.jpg?v=1642627701, https://midcenturymobler.com/cdn/shop/products/DA11661b.jpg?v=1642627701, https://midcenturymobler.com/cdn/shop/products/DA11661c.jpg?v=1642627701"
Carl Straub Highback Lounge Chair In Oak + Leather,7267643523204,3500.0,,seating,LOUNGE CHAIR,". Origin: Germany. Designer: Carl Straub. Manufacturer: Carl Straub. Era: 1970s. Materials: Oak, Leather. Measurements: 29.5"" wide x 37"" deep x 36"" tall Seat Height: 17"" tall",29.5,36,37,"1970s, Carl Straub, chair, DENMARK - JUNE 2024, depth:36, germany, height:38, highback, Highback Lounge Chair, leather, lounge chair, new, oak, PRE-ORDER, width:36",Carl Straub,Carl Straub,"https://midcenturymobler.com/cdn/shop/files/DA13318.jpg?v=1716183938, https://midcenturymobler.com/cdn/shop/files/DA13318b.jpg?v=1716183938, https://midcenturymobler.com/cdn/shop/files/DA13318c.jpg?v=1716183938"
Brown Clay Amoeba Matte Glazed Vase With Matcha Toned Dots,7254302523524,185.0,,accessories,pottery,"Designed and manufactured by Oakland artist Justin Kiene, these organic planters and vases are inspired by the shapes of the natural and microscopic world. Each piece is hand thrown and glazed, making it unique in tone, shape and finish. Origin: USADesigner: Justin KieneManufacturer: Justin Kiene StudiosEra: 2024Measurements: 4"" diameter x 6.75"" tall",4,6.75,4,"artist, depth:4, height:6.75, justin kiene, oakland, organic, planter, pottery, width:4",,,"https://midcenturymobler.com/cdn/shop/files/IMG_2996.jpg?v=1713211650, https://midcenturymobler.com/cdn/shop/files/IMG_2997.jpg?v=1713211651, https://midcenturymobler.com/cdn/shop/files/IMG_2996_12278f81-3468-4720-a006-f77aa06630cb.jpg?v=1713211651"
Set Of Six Teak Dining Chairs By Johannes Andersen,7206890963076,5850.0,,seating,dining chairs,"Origin: DenmarkDesigner: Johnannes AndersenManufacturer: Bernhard Pedersen + SønEra: 1950sMaterials: TeakMeasurements: 18"" wide x 17.5"" deep x 31"" tall, Seat: 17.25"" tallCondition: In excellent original condition with typical wear for their vintage. Price includes restoration / refinishing to remove all cosmetic wear andnew upholstery in your choice of fabric. Fabrics available:. Hallingdal. Tonus. Tonica. Clara. Divina MD COM and COL also available. Inquire for pricing.",18,31,17.5,"1950s, BERNHARD PEDERSEN, Bernhard Pedersen + Søn, denmark, depth:17.5, dining chairs, ENGLAND - JANUARY 2024, height:31, JOHANNES ANDERSEN, PRE-ORDER, teak, width:18",,,"https://midcenturymobler.com/cdn/shop/files/DSC_8437.png?v=1709266002, https://midcenturymobler.com/cdn/shop/files/DSC_8442.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8445.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8456.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8459.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8463.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8466.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8468.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8473.png?v=1709266072, https://midcenturymobler.com/cdn/shop/files/DSC_8475.png?v=1709266072"
Florida Model Coffee Table / Planter In Teak By Ingvar Andersson,6800801333380,1645.0,,accessories,Tables,"Origin: SwedenDesigner: Ingvar AnderssonManufacturer: Averskogs Möbelfabrik, LammhultEra: 1970sMaterials: TeakMeasurements: 55″ wide x 17.75″ deep x 17″ tall",55,17,17.75,"1960s, 1970s, 2022, April 2022, Averskogs Möbelfabrik, COFFEE TABLE, DA12723, depth:17.75, FLORIDA MODEL, height:17, Ingvar Andersson, Lammhult, PLANTER, restored, Sweden, teak, width:55",,,"https://midcenturymobler.com/cdn/shop/products/DA12723.jpg?v=1650434332, https://midcenturymobler.com/cdn/shop/products/DA12723b.jpg?v=1650434331, https://midcenturymobler.com/cdn/shop/products/DA12723c.jpg?v=1650434333, https://midcenturymobler.com/cdn/shop/products/DA12723d.jpg?v=1650434333, https://midcenturymobler.com/cdn/shop/products/DA12723e.jpg?v=1650434331"
Johannes Andersen Rosewood Coffee Table With Drawers,6710738321540,2735.0,,tables,Cabinets & Storage,Origin: Denmark. Designer: Johannes Andersen. Manufacturer: Uldum. Era: 1960s. Materials: Rosewood. Measurements: 62.5″ wide x 25.5″ deep x 20.5″ tall,62.5,20.5,25.5,"coffee table, COFFEE TABLE WITH DRAWERS, denmark, depth:25.5, drawers, height:20.5, JOHANNES ANDERSEN, restored, rosewood, table, uldum, width:62.5",Uldum,Johannes Andersen,"https://midcenturymobler.com/cdn/shop/products/DA12381.jpg?v=1642634633, https://midcenturymobler.com/cdn/shop/products/DA12381f.jpg?v=1642634633, https://midcenturymobler.com/cdn/shop/products/DA12381e.jpg?v=1642634633, https://midcenturymobler.com/cdn/shop/products/DA12381d.jpg?v=1642634633, https://midcenturymobler.com/cdn/shop/products/DA12381b.jpg?v=1642634633, https://midcenturymobler.com/cdn/shop/products/DA12381c.jpg?v=1642634633"
Paradiset Sofa By Kerstin Horlin-Holmquist,6710749036676,5100.0,,seating,Sofas,"Origin: Sweden. Designer: Kerstin Hörlin-Holmquist. Manufacturer: Triva. Era: 1960s. Materials: Beech, Wool. Measurements: 71″ wide x 29"" deep x 33"" tall, Seat: 15"" tall",71,33,29,"1960s, beech, KERSTIN HÖRLIN-HOLMQUIST, PARADISET SOFA, restore, restored, sofa, sweden, TRIVA, upholstery, width:71, wool",Triva,Kerstin Hörlin-Holmquist,"https://midcenturymobler.com/cdn/shop/products/DA12479.jpg?v=1642635802, https://midcenturymobler.com/cdn/shop/products/DA12479b.jpg?v=1642635802, https://midcenturymobler.com/cdn/shop/products/DA12479c.jpg?v=1642635802, https://midcenturymobler.com/cdn/shop/products/DA12479g.jpg?v=1642635802"
Low Danish Modern Credenza / Console,7243781177476,4100.0,,storage,,Origin: DenmarkDesigner: UnknownManufacturer: UnknownEra: 1960sDimensions: 94.5″ wide x 17.25″ deep x 26.5″ tall.,94.5,26.5,17.25,"17.25, console, credenza, danish, danishmodern, denmark, depth, height:26.5, low, new, teak, tv console, vintage, width:94.5",UnknownEra: 1960sDimensions: 94.5″ wide x 17.25″ deep x 26.5″ tall,UnknownManufacturer: UnknownEra: 1960sDimensions: 94.5″ wide x 17.25″ deep x 26.5″ tall,"https://midcenturymobler.com/cdn/shop/files/DA13245.jpg?v=1710915948, https://midcenturymobler.com/cdn/shop/files/DA13245b.jpg?v=1710915948, https://midcenturymobler.com/cdn/shop/files/DA13245c.jpg?v=1710915946, https://midcenturymobler.com/cdn/shop/files/DA13245d.jpg?v=1710915946, https://midcenturymobler.com/cdn/shop/files/DA13245e.jpg?v=1710915947"
1960S Ceramic Floor Lamp By Bay Ceramics,7125810872452,1150.0,,lighting,FLOOR LAMP,Origin: Denmark. Designer: Unknown. Manufacturer: Bay Ceramics. Era: 1960s. Materials: Ceramic. Measurements: 12″ wide x 12″ deep x 51″ tall Condition: In excellent original condition with typical wear for its vintage.,12,51,12,"1960s, 2023, BAY CERAMICS, Cermaic, DA13133, DANISH MODERN, Denmark, depth:12, FLOOR LAMP, height:51, LAMP, PRE ORDER, width:12",Bay Ceramics,,"https://midcenturymobler.com/cdn/shop/files/DA13133.jpg?v=1688373526, https://midcenturymobler.com/cdn/shop/files/DA13133b.jpg?v=1688373536, https://midcenturymobler.com/cdn/shop/files/DA13133e.jpg?v=1688373536, https://midcenturymobler.com/cdn/shop/files/DA13133d.jpg?v=1688373535, https://midcenturymobler.com/cdn/shop/files/DA13133fc.jpg?v=1688373535, https://midcenturymobler.com/cdn/shop/files/DA13133c.jpg?v=1688373535"
Space Age Pendant Lamp By Stilux,6710758408324,1865.0,,lighting,Cabinets & Storage,"Origin: Italy. Designer: Unknown. Manufacturer: Stilux. Era: 1960s. Materials: Plastic, Metal. Measurements: 15″ wide x x 59″ tall Condition: In excellent original condition.",15,59,,"1960s, 2022, danish modern, denmark, height:59, Italy, January 2022, lamp, metal, pendant lamp, plastic, SPACE AGE PENDANT LAMP, Stilux, width:15",Stilux,,"https://midcenturymobler.com/cdn/shop/products/DA12564.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564d.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564h.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564b.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564e.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564f.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564g.jpg?v=1642636735, https://midcenturymobler.com/cdn/shop/products/DA12564c.jpg?v=1642636735"
Arne Hovmand Olsen Set Of Eight Round Back Organic Dining Chairs In Teak,7263563645060,16400.0,,seating,DINING CHAIR,"Origin: Denmark. Designer: Arne Hovmand Olsen. Manufacturer: Unknown. Era: 1960s. Materials: Beech, Leather. Measurements: 20.5"" wide x 20"" deep x 31"" tall",20.5,31,20,"1960s, Arne Hovmand Olsen chair, beech, denmark, depth:20, dining chairs, height:31, leather, new, restore, restored, teak, upholstery, vintage, width:20.5",,Arne Hovmand Olsen,"https://midcenturymobler.com/cdn/shop/files/DA13255.jpg?v=1715413253, https://midcenturymobler.com/cdn/shop/files/DA13255b.jpg?v=1715413253"
Gunni Omann Model 18 Credenza In Brazilian Rosewood,7190175973508,12500.0,,storage,CREDENZA,Origin: DenmarkDesigner: Gunni OmannManufacturer: Omann JunEra: 1960sMaterials: RosewoodMeasurements: 78.75″ wide x 18″ deep x 32.75″ tall,78.75,32.75,18,"1960s, BRAZILIAN ROSEWOOD, credenza, denmark, DENMARK - JANUARY 2024, depth:18, gunni omann, height:32.75, omann jun, PRE-ORDER, restored, rosewood, width:78.75",,,"https://midcenturymobler.com/cdn/shop/files/DA13183.jpg?v=1698160756, https://midcenturymobler.com/cdn/shop/files/DA13183aa.jpg?v=1698160756, https://midcenturymobler.com/cdn/shop/files/DA13183b.jpg?v=1698160755, https://midcenturymobler.com/cdn/shop/files/DA13183c.jpg?v=1698160755"
Pair Of Danish Modern Lounge Chairs With Rosewood Paws,6710715842692,5400.0,,seating,seating,"Enhance your living space with our exquisite pair of Danish Modern lounge chairs, featuring elegant rosewood paws. These chairs embody the essence of Scandinavian design, merging comfort with a visually stunning aesthetic. Crafted to provide both support and style, each chair boasts a sleek silhouette and premium materials that ensure lasting durability and appeal. Perfect for creating a relaxing corner in your home or adding a touch of elegance to any room, these lounge chairs are a must-have for those who appreciate fine craftsmanship and sophisticated design. Experience the ultimate in comfort and luxury with our beautifully designed Danish Modern lounge chairs. Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1950s. Materials: Rosewood, Wool. Measurements: 27.5″ wide x 26″ deep x 31.5″ tall Condition: In excellent original condition. Wool has light vintage wear.",27.5,31.5,26,"1950s, chairs, DANISH MODERN LOUNGE CHAIRS, denmark, depth:26, height:31.5, lounge, lounge chairs, model, modern, pair, PAWS, rosewood, ROSEWOOD PAWS, width:27.5, wool",,,"https://midcenturymobler.com/cdn/shop/products/DA12215.jpg?v=1642632136, https://midcenturymobler.com/cdn/shop/products/DA12215c.jpg?v=1642632136, https://midcenturymobler.com/cdn/shop/products/DA12215b.jpg?v=1642632136"
Round Teak Mid Century Ottoman,7208234123396,425.0,,seating,OTTOMAN,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Leather, Vinyl. Measurements: 19″ wide x 15″ tall Condition: In excellent original condition.",19,15,19,"depth:19, foot rest, height:15, ottoman, seating, stool, teak, width:19",,,"https://midcenturymobler.com/cdn/shop/files/DSC_6676_1b6638b4-cc7c-4541-88e4-00b3ffb09c3a.jpg?v=1702620856, https://midcenturymobler.com/cdn/shop/files/DSC_6668_7952ebbe-f1be-4f59-922f-323049eb56f1.jpg?v=1702620857, https://midcenturymobler.com/cdn/shop/files/DSC_6671.jpg?v=1702620858, https://midcenturymobler.com/cdn/shop/files/DSC_6673_8a50d942-6da9-4878-9853-17941c197d41.jpg?v=1702620857"
"Johannes Andersen ""Capri"" Swivel Lounge Chair In Black Leather",6710717972612,3850.0,,seating,seating,"Origin: Denmark. Designer: Johannes Andersen. Manufacturer: Trensums. Era: 1960s. Materials: Leather. Measurements: 35"" wide x 27"" deep x 27″ tall Condition: In excellent original condition with typical wear for its vintage.",35,27,27,"1960s, andersen, BLACK LEATHER, CAPRI SWIVEL LOUNGE CHAIR, chair, denmark, height:27, johannes, JOHANNES ANDERSEN, JOHANNES ANDERSEN LOUNGE CHAIR, JOHANNES ANDERSEN SWIVEL LOUNGE CHAIR, leather, lounge, lounge chair, model, modern, October 2021, PRE-ORDER, Trensums",Trensums,Johannes Andersen,"https://midcenturymobler.com/cdn/shop/products/DA12230.jpg?v=1642632365, https://midcenturymobler.com/cdn/shop/products/DA12230d.jpg?v=1642632365, https://midcenturymobler.com/cdn/shop/products/DA12230c.jpg?v=1642632366, https://midcenturymobler.com/cdn/shop/products/DA12230b.jpg?v=1642632366"
Danish Modern Armchair In Brazilian Rosewood,7198011228292,1250.0,,seating,CHAIR,"Origin: DenmarkDesigner: UnknownManufacturer: UnknownEra: 1960sMaterials: RosewoodMeasurements: 22.25"" wide x 18"" deep x 30″ tall, Seat: 17"" tall",22.25,30,18,"armchair, danish, danish modern, depth:18, dining, height:30, restore, restored, rosewood, upholstery, width:22.25",,,"https://midcenturymobler.com/cdn/shop/files/DSC_5569_8096c9b6-0ebc-4eec-a007-87a422329189.jpg?v=1699213244, https://midcenturymobler.com/cdn/shop/files/DSC_5572.jpg?v=1699213244, https://midcenturymobler.com/cdn/shop/files/DSC_5576_644501f3-618e-4c83-a5d8-28e12abc67a8.jpg?v=1699213243, https://midcenturymobler.com/cdn/shop/files/DSC_5579_dbe9d0a8-caf6-45c1-bccc-493d296e0e99.jpg?v=1699213243, https://midcenturymobler.com/cdn/shop/files/DSC_5581.jpg?v=1699213245, https://midcenturymobler.com/cdn/shop/files/DSC_5583_94fcf992-f42c-423e-8712-6288fe3b3a53.jpg?v=1699213243"
Four Drawer Dipped Pull Gentlemans Chest In Teak,7282430247044,1825.0,,storage,DRAWER CHEST,". Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Teak. Measurements: 29.5"" wide x 16"" deep x 31"" tall",29.5,31,16,"1960s, denmark, DENMARK - DECEMBER 2024, drawer, GENTLEMANS CHEST, PRE-ORDER, restore, restored, teak",,,"https://midcenturymobler.com/cdn/shop/files/DA13351.jpg?v=1720778760, https://midcenturymobler.com/cdn/shop/files/DA13351c.jpg?v=1720778760, https://midcenturymobler.com/cdn/shop/files/DA13351b.jpg?v=1720778760"
Danish Modern Solid Teak Framed Angular Wall Mirror,6710718300292,2150.0,,accessories,accessories,Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Teak. Measurements: 17.75″ wide x 5.5″ deep x 29.5″ tall Condition: In excellent original condition.,17.75,29.5,5.5,"1960s, angular, ANGULAR WALL MIRROR, denmark, depth:4.5, FRAMED, height:30, mirror, model, modern, October 2021, pair, PRE-ORDER, Rasmussen, solid, solid teak, SOLID TEAK FRAMED, soren, søren rasmussen, SØREN RASMUSSEN V-LEGGED NIGHTSTANDS, teak, v-legged, V-LEGGED NIGHTSTANDS, wall, WALL MIRROR, width:17.75",,,"https://midcenturymobler.com/cdn/shop/products/DA12236.jpg?v=1642632408, https://midcenturymobler.com/cdn/shop/products/DA12236b.jpg?v=1642632409, https://midcenturymobler.com/cdn/shop/products/DA12236c.jpg?v=1642632409"
Rare Kurt Østervig Lounge Chair In Crimson Wool,7101131325572,6500.0,,seating,LOUNGE CHAIR,"Origin: Denmark. Designer: Kurt Østervig. Manufacturer: Jason Møbler. Era: 1950s. Materials: Teak. Measurements: 35″ wide x 26"" deep x 32.25″ tall",35,32.25,26,"1950s, 2023, CHAIR, CHAIRS, CRIMSON WOOL, DA13102, DANISH MODERN, Denmark, height:32.25, Jason Møbler, KURT ØSTERVIG, LOUNGE CHAIR, PRE ORDER, RARE, restore, restored, Teak, upholstery, width:35",Jason Møbler,Kurt Østervig,"https://midcenturymobler.com/cdn/shop/products/DA13102.jpg?v=1681639339, https://midcenturymobler.com/cdn/shop/products/DA13102bb.jpg?v=1681639355, https://midcenturymobler.com/cdn/shop/products/DA13102b.jpg?v=1681639355, https://midcenturymobler.com/cdn/shop/products/DA13102c.jpg?v=1681639355, https://midcenturymobler.com/cdn/shop/products/DA13102d.jpg?v=1681639355, https://midcenturymobler.com/cdn/shop/products/DA13102e.jpg?v=1681639355, https://midcenturymobler.com/cdn/shop/products/DA13102f.jpg?v=1681639355, https://midcenturymobler.com/cdn/shop/products/DA13102g.jpg?v=1681639355"
